ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia
211245;201907;5537;1205220.0
211250;201907;10042;2542457.0
211260;201907;6217;1535519.0
211270;201907;7374;2120131.0
211280;201907;9049;1646206.0
211285;201907;1043;221311.0
211290;201907;5581;1303387.0
211300;201907;5999;1506101.0
211400;201907;6529;1143601.0
220005;201907;1307;257783.0
220010;201907;930;214737.0
220020;201907;2340;457762.0
220025;201907;1484;267017.0
220027;201907;843;177417.0
220030;201907;2557;455950.0
220040;201907;4182;663909.0
220045;201907;945;271337.0
220050;201907;3304;832628.0
220060;201907;1724;320965.0
220070;201907;1641;257611.0
220080;201907;487;126022.0
220090;201907;1135;279342.0
